code,name,roe,net_profit,np_margin,gp_margin
sh.600790,sh.600790,6.031899999999999,3.4868052877999998,157.1384,27.8066
sz.002297,sz.002297,6.0318,1.3567498063999999,35.6888,48.74
sh.600711,sh.600711,6.0089,11.5408373903,12.3374,24.451999999999998
sz.301216,sz.301216,5.9784999999999995,3.8063441816,8.8119,8.5653
sz.300750,sz.300750,5.9731,227.37254,17.6079,24.8156
sh.605016,sh.605016,5.9644,1.2058581873999998,30.7139,45.1081
sz.300760,sz.300760,5.9579,24.26538126,29.0533,61.870099999999994
sh.603919,sh.603919,5.8733,1.9890299966,18.212600000000002,62.8957
sz.000895,sz.000895,5.869,13.057993053199999,8.9754,19.7026
sh.603288,sh.603288,5.8636,24.4307102742,27.058100000000003,41.9955
sz.300438,sz.300438,5.8503,3.304411637,6.9296999999999995,19.5855
sh.603605,sh.603605,5.8449,3.8364784795999998,16.6417,74.5251
sz.002759,sz.002759,5.8246,2.6417040431,26.6826,41.6555
sh.601061,sh.601061,5.7998,13.7651897545,3.1867,2.3167
sh.600329,sh.600329,5.7968,4.230684555,27.921499999999998,77.70660000000001
sz.001257,sz.001257,5.7838,3.8415925937999997,28.7456,50.9764
sz.000921,sz.000921,5.7533,15.5761489076,6.7546,21.5975
sh.603706,sh.603706,5.727200000000001,1.2157895131999998,25.0832,31.9351
sh.688127,sh.688127,5.7269,1.2981722923,28.7607,46.5074
sh.600600,sh.600600,5.7054,18.32646612,17.8184,42.742999999999995
sh.600346,sh.600346,5.6884,39.094517952,7.947500000000001,13.9764
sh.603259,sh.603259,5.6749,46.7051398133,37.5571,50.4026
sz.002216,sz.002216,5.6419999999999995,2.6919984660000003,10.9751,25.5377
sh.600096,sh.600096,5.6276,15.0246258167,12.5406,19.5567
sh.688503,sh.688503,5.6154,2.892183691,5.151,10.5837
sz.000988,sz.000988,5.614199999999999,6.4409303625,15.0988,19.8116
sh.688629,sh.688629,5.6079,1.0362407809,16.3645,30.341099999999997
sh.600160,sh.600160,5.5796,13.009317476700001,21.618100000000002,34.3878
sh.603026,sh.603026,5.571000000000001,3.0317371045,13.592299999999998,23.3717
sz.000333,sz.000333,5.5648,128.59511,9.809,25.5711
sh.601336,sh.601336,5.5304,65.02,29.3769,0.0
sz.301219,sz.301219,5.5181000000000004,5.2579072319,20.5501,34.602500000000006
sh.603868,sh.603868,5.5125,1.8857909103000001,18.858,59.195100000000004
sh.603129,sh.603129,5.4517999999999995,4.2680375949,7.964599999999999,28.7028
sz.002267,sz.002267,5.444800000000001,3.8293706933,12.1175,17.228099999999998
sz.002636,sz.002636,5.4355,2.0158230685,16.0015,26.4391
sh.603317,sh.603317,5.3796,2.6269456379,23.2376,45.0308
sz.002001,sz.002001,5.3791,18.3572372579,29.1632,42.881
sh.601126,sh.601126,5.3782000000000005,2.7081246479,12.5489,31.4515
sh.601021,sh.601021,5.3408,9.82830048,16.1918,20.051
sz.000833,sz.000833,5.3294,2.1491477616999997,21.9941,35.4234
sh.603871,sh.603871,5.3248,3.2717223904000003,16.9296,21.5108
sz.000680,sz.000680,5.3062,3.3649800624,8.488,20.9979
sh.603979,sh.603979,5.2814,6.0067731835,17.5957,36.0703
sz.002961,sz.002961,5.2507,2.0448741223,51.3248,0.0
sz.300015,sz.300015,5.244800000000001,13.1467625676,20.5531,47.7331
sh.688519,sh.688519,5.2116999999999996,1.5013266311000002,8.1943,15.196499999999999
sz.002645,sz.002645,5.209,2.3823080068,9.4821,16.21
sz.002270,sz.002270,5.2055,1.6396667585,30.921300000000002,53.2465
sz.000938,sz.000938,5.2052000000000005,9.606964548099999,3.4329,12.8829
sh.603459,sh.603459,5.2027,1.2379539704,12.9943,25.1785
sz.300769,sz.300769,5.191,3.0040285488,6.9273,13.5859
sz.002701,sz.002701,5.1791,6.95372205,9.648900000000001,14.466499999999998
sh.688615,sh.688615,5.1627,1.5467899282,30.707,87.5828
sz.002448,sz.002448,5.151,2.1429381846,17.9842,26.7637
sz.002128,sz.002128,5.1374,26.0837141373,31.0031,46.5209
sz.002487,sz.002487,5.1174,4.3463800075,22.792299999999997,39.1904
sh.688019,sh.688019,5.115200000000001,2.0767232111,28.686899999999998,55.4642
sz.002304,sz.002304,5.0949,24.435556318299998,29.8514,75.4162
sh.688188,sh.688188,5.079199999999999,3.1946023585,58.2876,74.5146
sz.002414,sz.002414,5.0649,3.6590153075,29.3674,62.57
sh.603799,sh.603799,5.055,31.52190011,12.216000000000001,20.6858
sh.600398,sh.600398,5.0519,9.194531157,13.803199999999999,45.3234
sz.002384,sz.002384,5.0337,11.2415299138,8.556700000000001,19.3275
sh.688008,sh.688008,5.0186,8.2972536022,56.802600000000005,69.7882
sh.600436,sh.600436,4.9979000000000005,7.4014364795,26.9999,42.1821
